,area,bbox_area,convex_area,eccentricity,equivalent_diameter,extent,filled_area,major_axis_length,minor_axis_length,orientation,perimeter,solidity,shannon_entropy,num_subregions,proportion_occupied,subregion_mean_area,subregion_std_area,blue_color_std,blue_color_median,blue_color_mean,blue_color_shannon_entropy,red_color_std,red_color_median,red_color_mean,red_color_shannon_entropy,green_color_std,green_color_median,green_color_mean,green_color_shannon_entropy,ratio_r_b,ratio_r_g,ratio_b_g
calibration_000004_0566.tif,30,462,30,0.560611910581388,6.180387232371033,1.0,30,6.831300510639732,5.65685424949238,-0.0,18.0,1.0,6.189070590894262,1.0,1.0,,,16.39271090917721,150.0,153.29999999999998,4.692177697269087,2.877522053507458,69.0,83.23333333333333,4.8211461944575795,4.872429696129233,45.0,47.53333333333333,4.861759528966373,0.5429441182865841,1.7510518934081347,3.2251051893408134
calibration_000003_0152.tif,35,483,35,0.7071067811865476,6.6755811781245455,1.0,35,8.0,5.656854249492381,-0.0,20.0,1.0,6.652999042053103,1.0,1.0,,,1.9377305707898271,113.0,127.62857142857145,5.08462090937478,2.1830580881437234,74.0,81.25714285714285,5.075882915552705,1.7166666137195337,103.0,107.79999999999998,5.112423065217421,0.6366689053055741,0.7537768354094886,1.1839385104691231
calibration_000004_1081.tif,20,420,20,0.6123724356957945,5.046265044040321,1.0,20,5.656854249492381,4.47213595499958,-1.5707963267948966,14.0,1.0,5.741008950096787,1.0,1.0,,,5.039635397653368,66.5,91.20000000000002,4.13992796639249,3.1293953288323197,42.5,41.1,4.291049822167633,6.468135398566199,67.0,68.65,4.301697916648215,0.45065789473684204,0.5986890021849963,1.328477785870357
calibration_000004_0086.tif,36,484,36,0.0,6.770275002573076,1.0,36,6.831300510639732,6.831300510639732,0.7853981633974483,20.0,1.0,6.610591748879934,1.0,1.0,,,5.460942589954431,50.0,60.0,5.031740148826775,7.443030613506564,37.5,47.69444444444445,4.937425696582656,5.138267992990054,53.25,54.02777777777778,5.115526431019799,0.7949074074074075,0.882776349614396,1.1105398457583548
calibration_000002_0595.tif,42,506,42,0.5204164998665334,7.312732791431452,1.0,42,8.0,6.831300510639732,-0.0,22.0,1.0,6.693142027611924,1.0,1.0,,,9.530049115054425,72.0,116.83333333333333,5.144247593547033,1.0564911379646416,52.0,64.16666666666667,5.300652845617728,2.7930348320848224,37.0,44.785714285714285,5.314899989898503,0.5492154065620543,1.432748538011696,2.6087187666135034
calibration_000001_1148.tif,30,462,30,0.560611910581388,6.180387232371033,1.0,30,6.831300510639732,5.65685424949238,-0.0,18.0,1.0,6.266351393525251,1.0,1.0,,,7.650644566209923,50.0,84.16666666666667,4.633108984973995,7.7945140928872,50.5,65.43333333333332,4.773662798182883,10.076096971516542,38.5,44.666666666666664,4.836127942208118,0.7774257425742572,1.4649253731343281,1.8843283582089554
calibration_000002_0185.tif,25,441,25,0.0,5.641895835477563,1.0,25,5.656854249492381,5.656854249492381,0.7853981633974483,16.0,1.0,6.139877169338613,1.0,1.0,,,9.151847976783602,38.0,55.04,4.496629014462534,1.5634070579317825,40.0,45.6,4.612838617991801,0.4949064519866814,37.0,38.760000000000005,4.6228411784176995,0.8284883720930233,1.176470588235294,1.4200206398348811
calibration_000001_0348.tif,36,484,36,0.0,6.770275002573076,1.0,36,6.831300510639732,6.831300510639732,0.7853981633974483,20.0,1.0,6.317771012099948,1.0,1.0,,,7.439093551933229,68.0,102.75,4.783473459825907,8.072589526019959,31.0,53.63888888888889,4.7085544502693235,7.56002422656253,39.75,46.888888888888886,5.048916357188973,0.5220329818869965,1.1439573459715642,2.191350710900474
calibration_000001_0709.tif,48,528,48,0.6666666666666667,7.817640190446719,1.0,48,9.16515138991168,6.831300510639732,-0.0,24.0,1.0,6.953126118444557,1.0,1.0,,,8.195648181763922,76.25,109.3125,5.3328581110945175,1.3078049505725289,61.75,77.14583333333334,5.5017417217852715,5.983619274354393,43.75,59.145833333333336,5.449215163082649,0.7057366113969888,1.304332511447693,1.848185980979218
calibration_000005_0078.tif,24,440,24,0.7559289460184544,5.527906391541368,1.0,24,6.831300510639732,4.472135954999579,-0.0,16.0,1.0,5.669330707861973,1.0,1.0,,,12.487627476043373,67.0,99.625,4.151702502968139,2.349078359694718,38.0,44.875,4.324157391015162,4.193821766049056,30.5,30.625,4.535947903181669,0.4504391468005019,1.4653061224489796,3.253061224489796
calibration_000003_0294.tif,99,675,99,0.5773502691896257,11.227230955528665,1.0,99,12.649110640673518,10.327955589886447,-0.0,36.0,1.0,8.066914680157069,1.0,1.0,99.0,0.0,2.889280082315872,84.0,97.72727272727273,6.5121833371463955,6.119010375396974,61.0,79.78787878787878,6.404949279134073,3.100033682122396,83.0,96.26262626262627,6.531750158145444,0.8164341085271317,0.8288562434417627,1.015215110178384
calibration_000002_0796.tif,20,420,20,0.6123724356957945,5.046265044040321,1.0,20,5.656854249492381,4.47213595499958,-0.0,14.0,1.0,5.78539938081484,1.0,1.0,,,5.609105090069134,63.5,79.95,4.143989016883634,1.5408944336448887,79.5,84.35,4.294413741898425,3.840300984202215,49.5,50.0,4.281853924107409,1.055034396497811,1.6869999999999998,1.599
